Td	ID	Tj	Df	Dd	Db
196	533	195	0	1	1
196	540	196	0	0	0
197	549	197	0	0	0
197	543	196	0	1	1
197	553	197	0	0	0
198	545	196	2	0	2
198	547	197	0	1	1
198	548	197	0	1	1
198	551	197	0	1	1
198	538	195	0	3	3
198	519	192	0	6	6
198	515	190	0	8	8
198	541	196	0	2	2
199	556	199	0	0	0
200	550	197	0	3	3
200	554	199	0	1	1
200	555	199	0	1	1
200	559	199	0	1	1
200	560	199	0	1	1
200	498	188	0	12	12
201	557	199	0	2	2
201	534	195	0	6	6
201	521	192	0	9	9
201	561	201	0	0	0
202	567	201	0	1	1
202	565	201	0	1	1
202	564	201	0	1	1
202	562	201	0	1	1
203	571	202	0	1	1
203	574	202	0	1	1
203	568	202	0	1	1
204	575	204	0	0	0
204	577	204	0	0	0
204	579	204	0	0	0
204	581	204	0	0	0
205	578	204	0	1	1
205	576	204	0	1	1
205	580	204	0	1	1
206	584	206	0	0	0
206	585	206	0	0	0
206	586	206	0	0	0
209	593	209	0	0	0
209	589	209	0	0	0
209	594	209	0	0	0
209	591	209	0	0	0
210	595	209	0	1	1
210	599	210	0	0	0
210	600	210	0	0	0
210	592	209	0	1	1
210	590	209	0	1	1
210	596	210	0	0	0
210	597	210	0	0	0
211	602	210	0	1	1
212	603	212	0	0	0
212	604	212	0	0	0
212	609	212	0	0	0
212	607	212	0	0	0
212	606	212	0	0	0
213	605	212	0	1	1
214	613	214	0	0	0
214	610	214	0	0	0
214	615	214	0	0	0
214	616	214	0	0	0
214	611	214	0	0	0
215	617	215	0	0	0
215	622	215	0	0	0
216	630	216	0	0	0
216	623	215	0	1	1
216	619	215	0	1	1
216	620	215	0	1	1
217	625	216	0	1	1
217	628	216	0	1	1
217	629	216	0	1	1
218	558	199	0	19	19
218	612	214	0	4	4
218	566	201	0	17	17
218	626	216	0	2	2
219	637	219	0	0	0
219	632	219	0	0	0
219	635	219	0	0	0
219	633	219	0	0	0
222	640	222	0	0	0
222	643	222	0	0	0
223	644	222	0	1	1
223	642	222	0	1	1
223	638	222	0	1	1
223	641	222	0	1	1
223	650	223	0	0	0
224	649	223	0	1	1
224	651	223	0	1	1
224	646	223	0	1	1
228	653	228	0	0	0
228	655	228	0	0	0
228	657	228	0	0	0
229	656	228	0	1	1
233	665	233	0	0	0
233	661	233	0	0	0
233	662	233	0	0	0
233	660	233	0	0	0
234	659	233	0	1	1
234	627	216	0	18	18
234	634	219	0	15	15
237	667	237	0	0	0
237	666	237	0	0	0
237	668	237	0	0	0
237	669	237	0	0	0
237	671	237	0	0	0
237	670	237	0	0	0
238	678	238	0	0	0
239	674	238	0	1	1
239	675	238	0	1	1
239	677	238	0	1	1
239	673	238	0	1	1
241	680	241	0	0	0
241	681	241	0	0	0
242	686	241	0	1	1
242	682	241	0	1	1
243	689	243	0	0	0
244	690	243	0	1	1
244	692	243	0	1	1
244	691	243	0	1	1
245	601	210	0	35	35
246	695	246	0	0	0
246	696	246	0	0	0
246	697	246	0	0	0
246	700	246	0	0	0
247	694	246	0	1	1
247	699	246	0	1	1
247	701	247	0	0	0
247	702	247	0	0	0
247	706	247	0	0	0
248	705	247	0	1	1
250	712	250	0	0	0
250	710	250	0	0	0
251	708	250	1	0	1
251	714	250	0	1	1
251	693	243	0	8	8
251	707	247	0	4	4
251	663	233	0	18	18
251	679	238	0	13	13
252	722	252	0	0	0
252	711	250	0	2	2
253	2001	1	0	252	252
253	713	250	0	3	3
253	687	243	0	10	10
253	715	251	0	2	2
254	718	251	1	2	3
254	719	251	1	2	3
254	720	251	1	2	3
254	721	251	1	2	3
254	703	247	0	7	7
254	672	237	0	17	17
255	583	206	0	49	49
255	724	252	1	2	3
255	725	252	1	2	3
255	727	252	1	2	3
255	728	252	1	2	3
255	618	215	0	40	40
255	676	238	0	17	17
255	645	223	0	32	32
255	729	255	0	0	0
255	731	255	0	0	0
256	730	255	0	1	1
256	733	255	1	0	1
256	735	255	1	0	1
257	732	255	1	1	2
